Incident Zip,F_B  ,F_C  ,F_D  ,F_E  ,F_F  ,F_G  ,F_H  ,F_I  ,F_U  ,M_A  ,M_B  ,M_C  ,M_U  ,O_D  ,O_U  
54901,2.0,6.0,1.0,1.0,16.0,5.0,54.0,20.0,0.0,211.0,94.0,2.0,38.0,0.0,0.0
54902,1.0,5.0,0.0,1.0,3.0,1.0,11.0,9.0,0.0,47.0,49.0,0.0,17.0,0.0,0.0
54904,0.0,1.0,1.0,1.0,3.0,0.0,4.0,2.0,0.0,29.0,16.0,0.0,8.0,1.0,0.0
54914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
54915,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,4.0,0.0,2.0,0.0,0.0
54923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
54937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
54940,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
54947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0
54952,1.0,2.0,2.0,0.0,0.0,0.0,6.0,5.0,0.0,38.0,26.0,0.0,21.0,0.0,0.0
54956,2.0,3.0,2.0,0.0,5.0,5.0,10.0,13.0,0.0,48.0,25.0,0.0,30.0,0.0,2.0
54963,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,5.0,0.0,5.0,0.0,0.0
54964,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
54971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
54980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
54986,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,2.0,0.0,1.0
\,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
